CUSTOMER_ID,LOCATION,ACTIVITY,RATING
729,Paris,Montmartre,7
970,Athens,Acropole,5
356,Athens,Acropole,7
340,Paris,Eiffel Tower,3
394,Paris,Parliament,5
980,Washington,Senate,3
633,Athens,restaurants,4
101,Rome,walking,6
954,Washington,statues,3
350,Athens,restaurants,2
555,Athens,Acropole,3
154,Paris,movies,3
908,Rome,Forum of Rome,5
147,Paris,Parliament,4
723,Paris,Parliament,1
167,Athens,museums,2
524,Washington,Senate,1
971,Washington,White House,7
481,Athens,restaurants,3
947,Athens,statues,6
596,Athens,restaurants,5
795,Rome,Forum of Rome,3
751,Rome,Forum of Rome,4
953,Rome,Forum of Rome,3
427,Rome,Forum of Rome,2
948,Paris,Montmartre,2
487,Paris,Eiffel Tower,2
608,Paris,metro,5
203,Rome,Forum of Rome,2
984,Paris,metro,5
820,Washington,statues,7
709,Rome,Forum of Rome,7
521,Paris,Parliament,5
463,Paris,Eiffel Tower,7
362,Rome,Forum of Rome,5
932,Paris,Parliament,1
19,Rome,Forum of Rome,7
137,Rome,walking,6
46,Paris,Parliament,3
45,Washington,White House,6
241,Rome,Forum of Rome,7
527,Paris,Parliament,6
838,Washington,restaurants,7
123,Paris,Eiffel Tower,6
161,Rome,Forum of Rome,6
454,Paris,Eiffel Tower,1
764,Rome,Forum of Rome,1
126,Athens,restaurants,4
198,Paris,Eiffel Tower,7
414,Rome,movies,4
747,Athens,Acropole,2
880,Rome,movies,4
844,Paris,Eiffel Tower,7
190,Washington,restaurants,4
51,Paris,Parliament,3
778,Paris,Eiffel Tower,2
794,Washington,White House,3
354,Paris,metro,1
57,Washington,statues,1
978,Athens,Acropole,3
378,Athens,Acropole,7
805,Athens,Acropole,3
665,Washington,Senate,5
678,Rome,movies,3
721,Paris,Eiffel Tower,6
877,Paris,Parliament,5
193,Washington,White House,3
344,Paris,Parliament,4
82,Rome,Forum of Rome,7
246,Athens,Acropole,2
464,Athens,statues,2
102,Paris,Montmartre,6
899,Athens,Acropole,4
325,Washington,White House,6
753,Paris,Montmartre,1
575,Rome,Forum of Rome,4
593,Paris,Eiffel Tower,4
541,Washington,Senate,7
17,Rome,Forum of Rome,3
724,Rome,movies,4
467,Rome,Forum of Rome,3
423,Washington,restaurants,4
129,Athens,statues,6
890,Athens,museums,3
491,Athens,restaurants,1
891,Athens,restaurants,3
944,Rome,Forum of Rome,1
136,Athens,statues,3
283,Washington,White House,5
842,Rome,walking,7
643,Washington,White House,1
51,Rome,Forum of Rome,4
329,Athens,statues,7
3,Paris,Parliament,1
604,Paris,Montmartre,1
65,Rome,Forum of Rome,7
633,Rome,walking,6
120,Washington,restaurants,7
156,Rome,walking,2
417,Washington,Senate,5
705,Paris,metro,6
436,Rome,movies,7
923,Rome,Forum of Rome,7
644,Washington,White House,5
248,Paris,Montmartre,6
718,Athens,statues,1
319,Paris,metro,1
715,Athens,restaurants,3
187,Rome,Forum of Rome,3
290,Washington,White House,7
980,Rome,Forum of Rome,4
861,Athens,Acropole,1
203,Paris,Parliament,3
410,Rome,Forum of Rome,2
424,Washington,White House,1
245,Washington,restaurants,6
577,Athens,Acropole,7
147,Rome,Forum of Rome,2
16,Paris,Parliament,5
323,Washington,Senate,2
705,Washington,restaurants,4
971,Paris,Montmartre,7
334,Athens,restaurants,6
840,Paris,metro,5
952,Washington,Senate,4
77,Rome,Forum of Rome,4
357,Washington,statues,5
210,Paris,Parliament,2
609,Athens,Acropole,5
57,Paris,Parliament,2
553,Paris,movies,1
876,Athens,statues,4
48,Athens,restaurants,5
338,Athens,restaurants,5
636,Washington,White House,6
760,Paris,Parliament,1
614,Paris,movies,5
996,Athens,Acropole,1
564,Rome,Forum of Rome,7
699,Athens,restaurants,2
545,Rome,Forum of Rome,6
273,Paris,Eiffel Tower,6
899,Athens,museums,5
10,Paris,Parliament,7
716,Paris,Parliament,7
775,Paris,Parliament,4
549,Washington,Senate,2
131,Athens,restaurants,1
363,Paris,Parliament,4
995,Rome,Forum of Rome,2
565,Rome,movies,6
912,Rome,Forum of Rome,6
477,Washington,Senate,3
375,Rome,Forum of Rome,6
733,Washington,White House,5
871,Washington,Senate,1
581,Washington,restaurants,4
220,Rome,Forum of Rome,3
323,Paris,Parliament,6
850,Paris,Parliament,6
428,Athens,Acropole,1
290,Rome,walking,6
91,Paris,movies,2
534,Washington,restaurants,1
455,Rome,Forum of Rome,7
815,Athens,statues,2
994,Rome,Forum of Rome,1
74,Paris,movies,2
666,Washington,Senate,1
586,Paris,Eiffel Tower,2
905,Athens,Acropole,4
506,Rome,movies,7
775,Athens,restaurants,2
977,Rome,Forum of Rome,7
885,Washington,White House,3
97,Rome,Forum of Rome,6
465,Washington,White House,5
473,Rome,Forum of Rome,5
469,Paris,movies,6
120,Washington,Senate,5
440,Paris,Montmartre,3
873,Athens,museums,3
236,Washington,White House,3
996,Paris,Montmartre,5
456,Rome,Forum of Rome,3
258,Washington,White House,2
673,Rome,walking,5
93,Paris,Eiffel Tower,1
928,Rome,Forum of Rome,3
460,Rome,movies,4
74,Athens,statues,7
439,Paris,Parliament,7
563,Athens,restaurants,1
939,Paris,movies,2
674,Athens,restaurants,3
580,Washington,Senate,2
419,Washington,White House,3
444,Rome,movies,5
329,Rome,movies,1
776,Rome,Forum of Rome,4
559,Paris,Parliament,7
910,Athens,Acropole,1
269,Rome,movies,2
710,Athens,statues,6
457,Athens,statues,1
671,Athens,restaurants,3
558,Rome,Forum of Rome,7
215,Washington,Senate,7
465,Paris,Parliament,4
818,Athens,museums,3
852,Washington,statues,3
690,Rome,movies,3
306,Washington,Senate,7
343,Paris,Parliament,5
508,Paris,Eiffel Tower,4
685,Athens,restaurants,4
550,Washington,White House,5
522,Athens,Acropole,7
144,Athens,Acropole,5
823,Rome,movies,3
280,Athens,restaurants,5
382,Washington,restaurants,7
882,Paris,Eiffel Tower,6
373,Athens,Acropole,6
966,Athens,restaurants,1
985,Washington,restaurants,3
420,Paris,Parliament,7
550,Rome,Forum of Rome,1
211,Paris,metro,3
