CUSTOMER_ID,COUNTRY_VISITED,ACTIVITY,RATING
1,Thailand,sailing,4
2,Thailand,museums,4
3,Japan,sailing,5
4,China,sailing,1
5,Germany,tennis,3
6,Thailand,tennis,4
7,Mexico,surfing,2
8,Germany,surfing,2
9,Italy,museums,2
10,France,tennis,4
11,Mexico,sailing,5
12,Germany,surfing,5
13,Turkey,tennis,4
14,Italy,sailing,3
15,China,sailing,5
16,Italy,museums,5
17,Japan,museums,5
18,Turkey,skiing,2
19,France,museums,1
20,Germany,museums,5
21,United States,skiing,1
22,France,surfing,1
23,Japan,tennis,4
24,China,skiing,1
25,China,tennis,2
26,United States,skiing,5
27,Germany,museums,1
28,China,tennis,4
29,Japan,skiing,3
30,Germany,tennis,2
31,Thailand,museums,5
32,Italy,museums,4
33,Turkey,surfing,4
34,China,surfing,1
35,United Kingdom,surfing,1
36,United States,skiing,3
37,Japan,skiing,5
38,United Kingdom,sailing,1
39,Thailand,surfing,4
40,China,tennis,5
41,Germany,museums,1
42,United Kingdom,skiing,3
43,Thailand,skiing,2
44,China,skiing,4
45,Italy,museums,2
46,Italy,sailing,3
47,United Kingdom,sailing,2
48,Turkey,surfing,4
49,Japan,tennis,3
50,Germany,sailing,2
51,China,skiing,3
52,United Kingdom,sailing,4
53,United States,museums,3
54,United Kingdom,museums,2
55,Germany,sailing,4
56,China,skiing,3
57,Thailand,museums,4
58,United States,museums,5
59,Thailand,sailing,3
60,United Kingdom,skiing,3
61,Germany,skiing,4
62,Japan,sailing,3
63,United Kingdom,skiing,5
64,Thailand,skiing,2
65,Italy,museums,3
66,Turkey,museums,3
67,Turkey,skiing,3
68,Thailand,tennis,5
69,Mexico,surfing,5
70,Germany,skiing,1
71,Turkey,surfing,5
72,Italy,museums,5
73,Turkey,surfing,1
74,Japan,museums,1
75,Thailand,museums,1
76,China,skiing,1
77,Germany,surfing,5
78,Turkey,surfing,4
79,China,skiing,3
80,France,surfing,3
81,Japan,skiing,3
82,United Kingdom,skiing,3
83,China,tennis,4
84,Turkey,tennis,4
85,Turkey,surfing,5
86,Thailand,museums,2
87,Mexico,surfing,2
88,Germany,skiing,3
89,United States,surfing,1
90,Thailand,sailing,3
91,Germany,museums,2
92,United Kingdom,museums,4
93,Turkey,tennis,4
94,Turkey,tennis,3
95,France,surfing,4
96,Italy,museums,5
97,Mexico,museums,4
98,Italy,surfing,5
99,Turkey,surfing,3
100,Germany,sailing,2
101,Turkey,sailing,1
102,Thailand,skiing,1
103,France,surfing,5
104,United Kingdom,tennis,3
105,Thailand,surfing,2
106,Germany,sailing,3
107,Japan,tennis,3
108,United States,museums,4
109,United States,skiing,2
110,Turkey,tennis,3
111,China,sailing,5
112,Thailand,tennis,5
113,United States,tennis,4
114,France,sailing,4
115,Turkey,surfing,1
116,United Kingdom,museums,3
117,Mexico,surfing,5
118,Italy,museums,4
119,United Kingdom,skiing,3
120,France,sailing,4
121,Turkey,tennis,3
122,Thailand,skiing,5
123,Turkey,museums,4
124,United States,tennis,5
125,Turkey,tennis,1
126,Germany,museums,1
127,France,tennis,3
128,United Kingdom,museums,3
129,United States,surfing,2
130,Italy,sailing,2
131,China,skiing,1
132,Japan,skiing,3
133,United Kingdom,tennis,3
134,Germany,surfing,3
135,Germany,surfing,5
136,United States,museums,3
137,China,tennis,1
138,United States,skiing,3
139,Germany,museums,5
140,France,museums,4
141,Turkey,skiing,5
142,Germany,tennis,5
143,United Kingdom,sailing,1
144,Turkey,museums,2
145,France,surfing,1
146,France,skiing,3
147,Japan,surfing,3
148,China,tennis,3
149,Japan,surfing,5
150,United Kingdom,museums,5
151,Thailand,skiing,4
152,Italy,skiing,4
153,Japan,surfing,3
154,Mexico,museums,1
155,Japan,skiing,4
156,Turkey,tennis,4
157,Germany,skiing,5
158,China,sailing,2
159,Thailand,skiing,4
160,Mexico,skiing,3
161,Thailand,tennis,5
162,Mexico,sailing,4
163,France,museums,3
164,Japan,museums,1
165,Germany,tennis,5
166,Turkey,museums,5
167,Germany,tennis,5
168,Germany,museums,2
169,China,skiing,1
170,Germany,tennis,5
171,Germany,tennis,1
172,Japan,tennis,3
173,France,museums,2
174,United Kingdom,sailing,3
175,Mexico,museums,1
176,United Kingdom,museums,3
177,Germany,surfing,4
178,United Kingdom,surfing,4
179,Turkey,museums,5
180,Germany,museums,4
181,France,tennis,5
182,United Kingdom,skiing,4
183,United Kingdom,surfing,5
184,Italy,sailing,2
185,France,skiing,3
186,Japan,museums,3
187,Germany,tennis,2
188,Turkey,surfing,3
189,Turkey,sailing,3
190,United Kingdom,skiing,1
191,Japan,sailing,3
192,China,tennis,5
193,Italy,museums,1
194,United States,museums,4
195,China,museums,1
196,France,skiing,2
197,Thailand,tennis,2
198,United Kingdom,sailing,4
199,United Kingdom,skiing,3
200,Italy,skiing,5
201,Mexico,sailing,5
202,Italy,sailing,2
203,Italy,surfing,1
204,China,museums,1
205,Germany,museums,4
206,Italy,sailing,3
207,Japan,museums,2
208,Italy,sailing,2
209,Turkey,surfing,1
210,France,surfing,5
211,United States,sailing,4
212,Mexico,skiing,1
213,France,surfing,3
214,China,surfing,1
215,Turkey,skiing,1
216,Italy,museums,2
217,France,skiing,4
218,Turkey,sailing,3
219,Italy,skiing,4
220,Japan,sailing,5
221,Italy,tennis,1
222,Italy,surfing,5
223,Mexico,sailing,2
224,China,museums,3
225,United Kingdom,skiing,2
226,Turkey,sailing,2
227,Germany,sailing,4
228,China,skiing,3
229,Italy,tennis,4
230,Italy,sailing,5
231,Mexico,tennis,2
232,United States,surfing,2
233,United States,tennis,4
234,Thailand,skiing,2
235,Turkey,museums,5
236,United States,surfing,1
237,Mexico,sailing,4
238,China,skiing,3
239,Italy,museums,2
240,Germany,surfing,5
241,Italy,tennis,2
242,Japan,skiing,1
243,United Kingdom,tennis,2
244,Thailand,tennis,3
245,Mexico,surfing,3
246,China,sailing,5
247,Mexico,tennis,4
248,United States,tennis,4
249,Turkey,skiing,4
250,France,skiing,3
251,United Kingdom,sailing,1
252,Turkey,sailing,1
253,Germany,surfing,2
254,Japan,sailing,3
255,Mexico,skiing,4
256,France,surfing,4
257,United Kingdom,sailing,1
258,United Kingdom,tennis,1
259,United States,sailing,3
260,Germany,surfing,1
261,United States,museums,3
262,Mexico,museums,1
263,Thailand,museums,5
264,Turkey,skiing,1
265,Turkey,surfing,3
266,Japan,tennis,3
267,Japan,sailing,5
268,Mexico,museums,3
269,United Kingdom,museums,5
270,Germany,museums,2
271,United States,sailing,3
272,Mexico,skiing,1
273,Thailand,surfing,1
274,France,surfing,2
275,United Kingdom,museums,4
276,Germany,sailing,4
277,France,tennis,3
278,France,skiing,5
279,Turkey,sailing,1
280,United Kingdom,sailing,5
281,Japan,sailing,5
282,Turkey,skiing,1
283,Turkey,skiing,4
284,China,sailing,2
285,Mexico,surfing,4
286,United States,museums,1
287,France,sailing,1
288,Turkey,sailing,4
289,Turkey,museums,4
290,France,museums,4
291,United States,skiing,5
292,Japan,museums,5
293,France,skiing,5
294,Italy,sailing,1
295,Italy,museums,3
296,Germany,skiing,5
297,Japan,museums,3
298,France,skiing,5
299,Germany,museums,4
300,United States,sailing,5
301,Germany,surfing,5
302,France,surfing,3
303,Japan,tennis,1
304,United States,sailing,3
305,Thailand,museums,2
306,Mexico,surfing,4
307,United States,sailing,3
308,Turkey,skiing,5
309,France,sailing,2
310,Turkey,sailing,2
311,Japan,sailing,5
312,Thailand,skiing,4
313,Turkey,skiing,5
314,United Kingdom,skiing,5
315,United States,sailing,5
316,Mexico,surfing,3
317,United Kingdom,museums,5
318,Mexico,museums,2
319,Thailand,museums,3
320,France,tennis,3
321,United States,skiing,5
322,United States,tennis,1
323,Germany,museums,1
324,United Kingdom,sailing,1
325,France,surfing,3
326,France,surfing,1
327,France,sailing,2
328,Turkey,skiing,2
329,France,sailing,3
330,Mexico,surfing,3
331,France,surfing,4
332,United States,sailing,2
333,China,sailing,2
334,France,museums,1
335,United States,museums,2
336,United Kingdom,tennis,5
337,Mexico,tennis,5
338,China,tennis,3
339,France,sailing,3
340,France,museums,1
341,Mexico,museums,3
342,Germany,tennis,5
343,China,tennis,1
344,France,museums,4
345,Italy,surfing,4
346,United States,tennis,5
347,Italy,sailing,2
348,Thailand,sailing,4
349,Mexico,surfing,1
350,Thailand,skiing,4
351,Thailand,surfing,2
352,Italy,museums,4
353,Japan,tennis,4
354,United Kingdom,museums,3
355,United Kingdom,surfing,1
356,Germany,tennis,3
357,China,skiing,2
358,Mexico,skiing,3
359,United States,skiing,1
360,China,surfing,1
361,Japan,skiing,3
362,China,surfing,4
363,China,surfing,3
364,Mexico,surfing,4
365,Turkey,tennis,1
366,Germany,surfing,1
367,China,skiing,1
368,United Kingdom,skiing,2
369,Turkey,sailing,4
370,United Kingdom,museums,2
371,Mexico,skiing,5
372,Turkey,museums,3
373,Germany,sailing,2
374,France,museums,4
375,Turkey,surfing,2
376,Germany,surfing,1
377,United Kingdom,skiing,3
378,Japan,tennis,4
379,United States,skiing,1
380,Italy,sailing,4
381,China,tennis,2
382,Japan,surfing,4
383,Mexico,museums,2
384,Turkey,tennis,2
385,Italy,skiing,2
386,Japan,skiing,1
387,United States,skiing,2
388,Germany,sailing,3
389,Germany,sailing,2
390,Thailand,museums,2
391,China,tennis,4
392,France,sailing,1
393,Japan,skiing,5
394,United Kingdom,skiing,4
395,Thailand,museums,2
396,Japan,tennis,5
397,Italy,skiing,2
398,Mexico,surfing,1
399,Thailand,surfing,5
400,Germany,surfing,1
401,France,sailing,4
402,United States,tennis,5
403,Germany,sailing,5
404,Japan,museums,5
405,Japan,museums,1
406,France,museums,2
407,Italy,sailing,1
408,France,surfing,2
409,Italy,surfing,4
410,United States,tennis,3
411,Italy,sailing,3
412,United States,sailing,5
413,Germany,museums,4
414,United Kingdom,museums,1
415,United States,tennis,3
416,Mexico,skiing,3
417,Japan,museums,3
418,France,tennis,5
419,Mexico,skiing,4
420,France,tennis,3
421,Mexico,skiing,2
422,United States,surfing,3
423,Thailand,sailing,3
424,China,surfing,2
425,China,sailing,1
426,United States,museums,5
427,United Kingdom,skiing,3
428,United States,sailing,3
429,Mexico,skiing,1
430,United Kingdom,museums,4
431,United States,skiing,1
432,Mexico,tennis,1
433,United States,surfing,3
434,United Kingdom,tennis,3
435,United States,museums,2
436,Japan,tennis,1
437,United States,sailing,2
438,Thailand,skiing,3
439,Italy,surfing,2
440,China,sailing,5
441,France,sailing,5
442,United Kingdom,museums,4
443,Turkey,sailing,1
444,Mexico,surfing,5
445,Thailand,tennis,2
446,Japan,tennis,4
447,Thailand,surfing,1
448,United Kingdom,tennis,1
449,Turkey,sailing,5
450,Germany,tennis,4
451,France,sailing,4
452,France,skiing,3
